StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q6_8_TEXT,Q7,Q7_7_TEXT,Q8,Q9,Q10,Q11,Q14,Q12,Q13,Q13_7_TEXT,Q15,Q16,Q7_7_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you an undergraduate student at UNC Chapel Hill?,What year are you at UNC Chapel Hill?,How old are you?,What is your major? (including undecided),To which gender do you most identify?,What sexuality do you identify as? - Selected Choice,What sexuality do you identify as? - Other - Text,Which of the following races do you identify with? (can choose more than one) - Selected Choice,Which of the following races do you identify with? (can choose more than one) - Other - Text,Which ethnicity do you most identify with?,Are you a first-generation college student?,"Are you an in-state, out-of-state, or international student?",How supported do you feel at UNC Chapel Hill?,Have you used psychological services (including Counseling and Psychological Services [CAPS] at UNC) during your undergraduate career?,Have you ever used Counseling and Psychological Services (CAPS) at UNC Chapel Hill?,Why have you not used CAPS services at UNC? - Selected Choice,Why have you not used CAPS services at UNC? - Other - Text,When was your first CAPS visit?,Did you know that CAPS is a free service?,Q7_7_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID7_7_TEXT_4976c709101341fb8d7eda65Topics""}"
2018-03-01 07:39:35,2018-03-01 07:41:06,IP Address,152.23.137.69,100,90,True,2018-03-01 07:41:06,R_NVX22tmVnCL2Bih,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Fifth-year senior,Over 23 years,Environmental Science,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't heard of it,,,No,
2018-03-01 08:16:52,2018-03-01 08:18:43,IP Address,70.179.21.228,100,110,True,2018-03-01 08:18:44,R_RKUyCWwR53Eges1,,,,,32.708206176758,-117.23179626465,anonymous,EN,Yes,Senior,20-23 years,Biology and chemistry,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't needed it,,,Yes,
2018-03-01 08:45:47,2018-03-01 08:46:55,IP Address,152.23.55.91,100,67,True,2018-03-01 08:46:56,R_1gOsKOBhgM4zYHR,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Fifth-year senior,Over 23 years,Math,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,No,Haven't heard of it,,,No,
2018-03-01 08:56:10,2018-03-01 08:57:01,IP Address,174.99.35.113,100,51,True,2018-03-01 08:57:02,R_2wFGRHfqdX24bx3,,,,,35.949996948242,-78.961601257324,anonymous,EN,Yes,Senior,20-23 years,geology,Female,Bisexual,,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,Yes,Yes,,,Second year of college,Yes,
2018-03-01 09:23:05,2018-03-01 09:28:11,IP Address,107.15.129.120,100,306,True,2018-03-01 09:28:12,R_vkomhKscyqw8Uet,,,,,35.949996948242,-78.961601257324,anonymous,EN,Yes,Senior,20-23 years,Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Somewhat supported,No,No,Haven't needed it,,,Yes,
2018-03-01 10:56:28,2018-03-01 10:58:12,IP Address,66.87.133.228,100,104,True,2018-03-01 10:58:13,R_2xYwnWF9GEpuA3I,,,,,35.111999511719,-80.761703491211,anonymous,EN,Yes,Senior,20-23 years,HPM,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't needed it,,,Yes,
2018-03-01 17:42:57,2018-03-01 17:43:06,IP Address,107.15.17.209,100,8,True,2018-03-01 17:43:06,R_Oj9roCPc7fW5dsd,,,,,36.075500488281,-79.074096679688,anonymous,EN,No,,,,,,,,,,,,,,,,,,,
2018-03-01 17:43:16,2018-03-01 17:44:36,IP Address,107.15.17.209,100,79,True,2018-03-01 17:44:36,R_2QQfa0nipbDUR4c,,,,,36.075500488281,-79.074096679688,anonymous,EN,Yes,Fifth-year senior,Over 23 years,Geology,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,No,No,Haven't needed it,,,Yes,
2018-03-01 21:09:53,2018-03-01 21:11:21,IP Address,174.99.35.229,100,88,True,2018-03-01 21:26:27,R_3r0TcJ1APKJL2yL,,,,,35.949996948242,-78.961601257324,anonymous,EN,Yes,First-year,17-19 years,Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Do not know how to access services,,,No,
2018-03-02 10:49:05,2018-03-02 10:52:36,IP Address,152.23.203.6,100,210,True,2018-03-02 10:52:36,R_12iptEA2s8Vxdla,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,"Psychology ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-02 11:01:19,2018-03-02 11:03:49,IP Address,149.173.8.5,100,150,True,2018-03-02 11:03:50,R_27lq146AB0RAwho,,,,,35.805892944336,-78.799697875977,anonymous,EN,Yes,Senior,20-23 years,Biostatistics,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Do not know how to access services,,,No,
2018-03-02 12:53:05,2018-03-02 12:57:14,IP Address,45.37.171.15,100,249,True,2018-03-02 12:57:15,R_3m3PD0UcoigFD4P,,,,,35.946594238281,-78.797698974609,anonymous,EN,Yes,Senior,20-23 years,Mathematics,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,No,
2018-03-07 10:56:08,2018-03-07 10:57:10,IP Address,174.194.5.127,100,62,True,2018-03-07 10:57:11,R_8cRRtNH7XfBBToJ,,,,,35.057006835938,-79.014701843262,anonymous,EN,Yes,Sophomore,17-19 years,Art History and Mandarin Chinese,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 10:58:33,2018-03-07 10:59:17,IP Address,152.23.72.141,100,44,True,2018-03-07 10:59:18,R_27U2R4EJT0bs14T,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Biology,Male,Heterosexual (straight),,"white/Caucasian,black/African American",,Non-Hispanic,No,In-state,Not at all,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-03-07 11:02:00,2018-03-07 11:02:45,IP Address,152.23.4.50,100,45,True,2018-03-07 11:02:45,R_3hteynpuV4vQmJm,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,"PSYC,EXSS",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,Yes,Yes,,,Second year of college,Yes,
2018-03-07 11:03:15,2018-03-07 11:04:22,IP Address,152.23.130.50,100,67,True,2018-03-07 11:04:23,R_25yL1a01c0V6CCY,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,Biochemistry,Female,Heterosexual (straight),,"white/Caucasian,Other",Middle Eastern,Non-Hispanic,No,In-state,Very supported,No,No,Haven't needed it,,,Yes,
2018-03-07 11:02:54,2018-03-07 11:04:23,IP Address,152.23.249.10,100,88,True,2018-03-07 11:04:23,R_a97F7hgJz5jdYoV,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Biology,Female,Bisexual,,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,No,
2018-03-07 11:05:35,2018-03-07 11:06:34,IP Address,107.13.237.167,100,59,True,2018-03-07 11:06:35,R_2rU9FNYiFkzUdBY,,,,,35.811599731445,-78.646003723145,anonymous,EN,Yes,Senior,20-23 years,Philosophy and English,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,Yes,Yes,,,First year of college,Yes,
2018-03-07 11:05:55,2018-03-07 11:07:06,IP Address,152.23.87.161,100,71,True,2018-03-07 11:07:06,R_3RkXp7cBiBX2UI5,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,Environmental Studies,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 11:06:55,2018-03-07 11:07:46,IP Address,152.23.56.185,100,50,True,2018-03-07 11:07:46,R_3HpGehuWo896Kk9,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,biology and psychology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Somewhat supported,Yes,Yes,,,Second year of college,Yes,
2018-03-07 11:07:25,2018-03-07 11:09:14,IP Address,74.219.17.202,100,109,True,2018-03-07 11:09:15,R_3oH0ZwwjqqVUVyn,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,First-year,20-23 years,Computer science,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Worried about others finding out,,,Yes,
2018-03-07 11:10:52,2018-03-07 11:11:47,IP Address,152.23.116.182,100,54,True,2018-03-07 11:11:48,R_2e82WTZQRxseSUx,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Peace War and Defense and Spanish Linguistics,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 11:13:36,2018-03-07 11:14:27,IP Address,24.106.221.131,100,50,True,2018-03-07 11:14:27,R_PIpieN6eBB8w7O9,,,,,34.759506225586,-77.501899719238,anonymous,EN,Yes,First-year,17-19 years,"Undecided ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-03-07 11:15:02,2018-03-07 11:16:00,IP Address,98.27.52.185,100,57,True,2018-03-07 11:16:00,R_1LSUJ8sBT0vwBFC,,,,,35.910507202148,-79.082099914551,anonymous,EN,Yes,Senior,20-23 years,Mejo,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Do not know how to access services,,,No,
2018-03-07 11:15:06,2018-03-07 11:16:05,IP Address,152.23.238.144,100,59,True,2018-03-07 11:16:05,R_301qtfKuleotrTa,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 11:17:33,2018-03-07 11:18:39,IP Address,174.194.128.238,100,66,True,2018-03-07 11:18:39,R_3D7at9M4gz0pi8H,,,,,34.927307128906,-80.727798461914,anonymous,EN,Yes,First-year,17-19 years,Political Science,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Worried about others finding out,,,No,
2018-03-07 11:18:06,2018-03-07 11:18:54,IP Address,152.23.229.13,100,47,True,2018-03-07 11:18:55,R_3iVEuRaJWjmNkhb,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,"Political science and public policy ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Somewhat supported,No,No,Other,"Heard it sucked. ",,Yes,
2018-03-07 11:15:58,2018-03-07 11:19:00,IP Address,204.85.176.249,100,181,True,2018-03-07 11:19:00,R_1XF9n1zcxQFDxfz,,,,,35.994003295898,-78.898597717285,anonymous,EN,Yes,Junior,20-23 years,Global Studies and Comparative Literature,Non-conforming,Bisexual,,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,Yes,Yes,,,Third year of college,Yes,
2018-03-07 11:18:25,2018-03-07 11:19:39,IP Address,152.23.3.2,100,73,True,2018-03-07 11:19:39,R_O8pxm11hQxhsDC1,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,Econ,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,International,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 11:19:36,2018-03-07 11:20:32,IP Address,152.23.247.165,100,56,True,2018-03-07 11:20:33,R_URCQ6RUlqLSwQJH,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,Human Development and Family Studies and Psychology (BA),Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
